- - - - - - - experiments/1_class/10_in_clusters.argos experiments/1_class/10_in_lines.argos experiments/1_class/3_in_clusters.argos experiments/1_class/3_in_lines.argos experiments/1_class/4_in_clusters.argos experiments/1_class/4_in_lines.argos experiments/1_class/5_in_clusters.argos experiments/1_class/5_in_lines.argos experiments/2_class/10_in_clusters.argos experiments/2_class/10_in_lines.argos experiments/2_class/3_in_clusters.argos experiments/2_class/3_in_lines.argos experiments/2_class/4_in_clusters.argos experiments/2_class/4_in_lines.argos experiments/2_class/5_in_clusters.argos experiments/2_class/5_in_lines.argos experiments/4_class/10_in_clusters.argos experiments/4_class/10_in_lines.argos experiments/4_class/12_uniform_0.05_density.argos experiments/4_class/12_uniform_0.10_density.argos experiments/4_class/12_uniform_0.20_density.argos experiments/4_class/16_uniform_0.05_density.argos experiments/4_class/16_uniform_0.10_density.argos experiments/4_class/16_uniform_0.20_density.argos experiments/4_class/20_uniform_0.05_density.argos experiments/4_class/20_uniform_0.10_density.argos experiments/4_class/20_uniform_0.20_density.argos experiments/4_class/3_in_clusters.argos experiments/4_class/3_in_lines.argos experiments/4_class/40_uniform_0.05_density.argos experiments/4_class/40_uniform_0.10_density.argos experiments/4_class/40_uniform_0.20_density.argos experiments/4_class/4_in_clusters.argos experiments/4_class/4_in_lines.argos experiments/4_class/5_in_clusters.argos experiments/4_class/5_in_lines.argos
100030 0.6667 1.0000 0.3333 0.3333 0.0000 -1.0000 -364.400 -402.650 -1200.000 -1200.000 -901.875 -1136.375 -784.300 -720.000 -364.400 -402.650 -1200.000 -1200.000 -901.875 -1136.375 -784.300 -720.000 -364.400 -402.650 -1510.500 -1512.335 -1528.835 -1083.750 -990.000 -961.125 -811.900 -1013.500 -900.300 -1200.000 -1200.000 -715.750 -481.700 -697.600 -901.875 -1136.375 -784.300 -720.000
100031 0.6667 1.0000 0.3333 0.3333 0.0000 -0.6667 -428.800 -374.600 -1200.000 -1200.000 -904.000 -1072.125 -853.700 -720.000 -428.800 -374.600 -1200.000 -1200.000 -904.000 -1072.125 -853.700 -720.000 -428.800 -374.600 -1232.665 -1463.165 -1512.665 -980.250 -1099.375 -952.000 -776.600 -924.100 -999.300 -1200.000 -1200.000 -723.150 -496.850 -557.450 -904.000 -1072.125 -853.700 -720.000
100032 0.6667 1.0000 0.3333 0.3333 0.0000 -0.3333 -539.200 -463.550 -1200.000 -1200.000 -902.625 -900.000 -824.400 -720.000 -539.200 -463.550 -1200.000 -1200.000 -902.625 -900.000 -824.400 -720.000 -539.200 -463.550 -1237.000 -1322.500 -1259.335 -1027.125 -1023.625 -1340.250 -872.300 -898.400 -1074.400 -1200.000 -1200.000 -626.900 -554.500 -620.100 -902.625 -900.000 -824.400 -720.000
100033 0.6667 1.0000 0.3333 0.3333 0.0000 0.0000 -782.850 -925.950 -1200.000 -1485.165 -1105.250 -1645.250 -1199.300 -1255.600 -782.850 -925.950 -1200.000 -1485.165 -1105.250 -1645.250 -1199.300 -1255.600 -782.850 -925.950 -1492.500 -1500.000 -2123.165 -1943.000 -1343.875 -1554.875 -1515.600 -1067.600 -1611.400 -1200.000 -1485.165 -658.800 -608.300 -716.750 -1105.250 -1645.250 -1199.300 -1255.600
100034 0.6667 1.0000 0.3333 0.3333 0.0000 0.3333 -1428.100 -1268.850 -2525.335 -2257.835 -2113.125 -2222.750 -1587.000 -1770.800 -1428.100 -1268.850 -2525.335 -2257.835 -2113.125 -2222.750 -1587.000 -1770.800 -1428.100 -1268.850 -1920.500 -2789.835 -2747.500 -1498.125 -1680.125 -1974.375 -1501.000 -2046.400 -1956.100 -2525.335 -2257.835 -1216.400 -1349.750 -1325.800 -2113.125 -2222.750 -1587.000 -1770.800
100035 0.6667 1.0000 0.3333 0.3333 0.0000 0.6667 -1452.700 -1527.500 -2422.500 -2703.335 -1876.875 -1927.625 -1608.000 -1889.100 -1452.700 -1527.500 -2422.500 -2703.335 -1876.875 -1927.625 -1608.000 -1889.100 -1452.700 -1527.500 -2490.000 -2411.000 -3013.835 -1622.375 -2613.750 -2143.375 -1654.200 -2044.700 -1981.600 -2422.500 -2703.335 -1481.350 -1279.350 -1381.900 -1876.875 -1927.625 -1608.000 -1889.100
100036 0.6667 1.0000 0.3333 0.3333 0.0000 1.0000 -1197.750 -1172.100 -2167.335 -2698.335 -1941.750 -1859.000 -2371.200 -1873.700 -1197.750 -1172.100 -2167.335 -2698.335 -1941.750 -1859.000 -2371.200 -1873.700 -1197.750 -1172.100 -1552.500 -2950.165 -2888.335 -1989.500 -1883.750 -2229.250 -2126.000 -1856.200 -2566.200 -2167.335 -2698.335 -1536.150 -1395.100 -1402.450 -1941.750 -1859.000 -2371.200 -1873.700
100037 0.6667 1.0000 0.3333 0.3333 0.3333 -1.0000 -364.100 -390.450 -1200.000 -1200.000 -900.000 -918.625 -779.200 -720.000 -364.100 -390.450 -1200.000 -1200.000 -900.000 -918.625 -779.200 -720.000 -364.100 -390.450 -1434.835 -1242.335 -1370.165 -923.875 -961.125 -947.000 -791.100 -980.100 -774.200 -1200.000 -1200.000 -566.350 -540.200 -605.600 -900.000 -918.625 -779.200 -720.000
100038 0.6667 1.0000 0.3333 0.3333 0.3333 -0.6667 -379.950 -434.700 -1200.000 -1201.000 -900.000 -942.375 -727.800 -720.000 -379.950 -434.700 -1200.000 -1201.000 -900.000 -942.375 -727.800 -720.000 -379.950 -434.700 -1239.665 -1295.000 -1437.665 -954.125 -1414.750 -1051.875 -806.800 -789.300 -1055.700 -1200.000 -1201.000 -525.350 -476.700 -569.050 -900.000 -942.375 -727.800 -720.000
100039 0.6667 1.0000 0.3333 0.3333 0.3333 -0.3333 -404.550 -377.700 -1200.000 -1200.000 -902.625 -1108.875 -728.800 -720.000 -404.550 -377.700 -1200.000 -1200.000 -902.625 -1108.875 -728.800 -720.000 -404.550 -377.700 -1204.835 -1498.335 -1477.165 -987.375 -1053.625 -983.875 -822.900 -860.700 -890.500 -1200.000 -1200.000 -574.700 -394.350 -426.500 -902.625 -1108.875 -728.800 -720.000
100040 0.6667 1.0000 0.3333 0.3333 0.3333 0.0000 -394.400 -372.800 -1200.000 -1200.000 -902.875 -900.000 -819.800 -720.000 -394.400 -372.800 -1200.000 -1200.000 -902.875 -900.000 -819.800 -720.000 -394.400 -372.800 -1232.665 -1256.500 -1248.000 -1112.250 -932.875 -1054.750 -1243.100 -806.900 -805.100 -1200.000 -1200.000 -425.600 -471.000 -403.750 -902.875 -900.000 -819.800 -720.000
