- - - - - - - experiments/1_class/10_in_clusters.argos experiments/1_class/10_in_lines.argos experiments/1_class/3_in_clusters.argos experiments/1_class/3_in_lines.argos experiments/1_class/4_in_clusters.argos experiments/1_class/4_in_lines.argos experiments/1_class/5_in_clusters.argos experiments/1_class/5_in_lines.argos experiments/2_class/10_in_clusters.argos experiments/2_class/10_in_lines.argos experiments/2_class/3_in_clusters.argos experiments/2_class/3_in_lines.argos experiments/2_class/4_in_clusters.argos experiments/2_class/4_in_lines.argos experiments/2_class/5_in_clusters.argos experiments/2_class/5_in_lines.argos experiments/4_class/10_in_clusters.argos experiments/4_class/10_in_lines.argos experiments/4_class/12_uniform_0.05_density.argos experiments/4_class/12_uniform_0.10_density.argos experiments/4_class/12_uniform_0.20_density.argos experiments/4_class/16_uniform_0.05_density.argos experiments/4_class/16_uniform_0.10_density.argos experiments/4_class/16_uniform_0.20_density.argos experiments/4_class/20_uniform_0.05_density.argos experiments/4_class/20_uniform_0.10_density.argos experiments/4_class/20_uniform_0.20_density.argos experiments/4_class/3_in_clusters.argos experiments/4_class/3_in_lines.argos experiments/4_class/40_uniform_0.05_density.argos experiments/4_class/40_uniform_0.10_density.argos experiments/4_class/40_uniform_0.20_density.argos experiments/4_class/4_in_clusters.argos experiments/4_class/4_in_lines.argos experiments/4_class/5_in_clusters.argos experiments/4_class/5_in_lines.argos 
49030 -0.3333 1.0000 -0.3333 1.0000 0.3333 -0.3333 -825.700 -631.150 -1200.000 -1654.335 -1076.625 -1775.125 -893.300 -933.500 -825.700 -631.150 -1200.000 -1654.335 -1076.625 -1775.125 -893.300 -933.500 -825.700 -631.150 -2024.835 -1705.335 -3020.335 -1619.500 -2091.875 -1741.250 -1039.700 -1367.600 -1882.900 -1200.000 -1654.335 -763.650 -672.850 -803.100 -1076.625 -1775.125 -893.300 -933.500 
49031 -0.3333 1.0000 -0.3333 1.0000 0.3333 0.0000 -640.450 -680.800 -1593.335 -1737.665 -1473.625 -1783.750 -1236.000 -978.700 -640.450 -680.800 -1593.335 -1737.665 -1473.625 -1783.750 -1236.000 -978.700 -640.450 -680.800 -1516.500 -1645.665 -1940.335 -1601.000 -1535.750 -1737.125 -1378.200 -1210.900 -1390.800 -1593.335 -1737.665 -786.400 -781.450 -880.700 -1473.625 -1783.750 -1236.000 -978.700 
49032 -0.3333 1.0000 -0.3333 1.0000 0.3333 0.3333 -621.400 -589.950 -1426.665 -1965.335 -1096.750 -1146.750 -1056.100 -1104.100 -621.400 -589.950 -1426.665 -1965.335 -1096.750 -1146.750 -1056.100 -1104.100 -621.400 -589.950 -1299.165 -1679.335 -1746.835 -1094.875 -1043.625 -1900.250 -819.900 -1103.500 -1303.900 -1426.665 -1965.335 -777.300 -629.100 -699.500 -1096.750 -1146.750 -1056.100 -1104.100 
49033 -0.3333 1.0000 -0.3333 1.0000 0.3333 0.6667 -507.550 -573.350 -1200.000 -1455.000 -900.000 -1001.125 -778.100 -932.400 -507.550 -573.350 -1200.000 -1455.000 -900.000 -1001.125 -778.100 -932.400 -507.550 -573.350 -1449.000 -1369.500 -1359.665 -1026.125 -1244.500 -1153.500 -792.800 -988.600 -1034.000 -1200.000 -1455.000 -507.300 -577.550 -617.000 -900.000 -1001.125 -778.100 -932.400 
49034 -0.3333 1.0000 -0.3333 1.0000 0.3333 1.0000 -723.750 -647.000 -1500.335 -1431.665 -1120.375 -1246.750 -1020.100 -1069.600 -723.750 -647.000 -1500.335 -1431.665 -1120.375 -1246.750 -1020.100 -1069.600 -723.750 -647.000 -1498.000 -1585.165 -1741.000 -1213.000 -1199.625 -1432.000 -1079.200 -1243.100 -1205.800 -1500.335 -1431.665 -719.250 -764.850 -759.550 -1120.375 -1246.750 -1020.100 -1069.600 
49035 -0.3333 1.0000 -0.3333 1.0000 0.6667 -1.0000 -744.950 -575.300 -1200.000 -1737.500 -900.000 -1774.250 -956.400 -1010.000 -744.950 -575.300 -1200.000 -1737.500 -900.000 -1774.250 -956.400 -1010.000 -744.950 -575.300 -1976.165 -1579.665 -3150.335 -1633.125 -1590.125 -1635.375 -1079.400 -1342.300 -1794.200 -1200.000 -1737.500 -735.450 -775.250 -1194.550 -900.000 -1774.250 -956.400 -1010.000 
49036 -0.3333 1.0000 -0.3333 1.0000 0.6667 -0.6667 -828.250 -644.650 -1653.500 -1850.000 -1044.500 -2107.250 -986.400 -1133.500 -828.250 -644.650 -1653.500 -1850.000 -1044.500 -2107.250 -986.400 -1133.500 -828.250 -644.650 -1676.335 -1744.835 -2021.500 -1838.375 -2208.375 -1697.625 -1423.700 -1623.900 -1874.500 -1653.500 -1850.000 -868.450 -989.300 -1219.200 -1044.500 -2107.250 -986.400 -1133.500 
49037 -0.3333 1.0000 -0.3333 1.0000 0.6667 -0.3333 -885.850 -819.350 -1628.000 -1697.665 -1363.500 -1979.625 -1001.600 -1038.800 -885.850 -819.350 -1628.000 -1697.665 -1363.500 -1979.625 -1001.600 -1038.800 -885.850 -819.350 -2147.000 -1675.000 -2068.165 -1867.875 -2024.250 -1581.000 -1549.600 -1491.300 -1285.400 -1628.000 -1697.665 -818.650 -977.200 -968.750 -1363.500 -1979.625 -1001.600 -1038.800 
49038 -0.3333 1.0000 -0.3333 1.0000 0.6667 0.0000 -713.700 -803.250 -1409.335 -1710.165 -1454.750 -1420.625 -1398.700 -1122.800 -713.700 -803.250 -1409.335 -1710.165 -1454.750 -1420.625 -1398.700 -1122.800 -713.700 -803.250 -1600.665 -2056.835 -1882.000 -1519.875 -1459.125 -1668.750 -1274.100 -1206.600 -1257.200 -1409.335 -1710.165 -920.650 -966.200 -863.900 -1454.750 -1420.625 -1398.700 -1122.800 
49039 -0.3333 1.0000 -0.3333 1.0000 0.6667 0.3333 -817.200 -784.950 -1328.000 -1266.000 -1244.125 -1346.500 -1427.400 -1129.000 -817.200 -784.950 -1328.000 -1266.000 -1244.125 -1346.500 -1427.400 -1129.000 -817.200 -784.950 -1464.000 -1365.665 -1572.835 -1525.125 -1231.250 -1494.750 -1270.200 -1337.600 -1299.500 -1328.000 -1266.000 -1035.650 -899.800 -770.850 -1244.125 -1346.500 -1427.400 -1129.000 
